縣市,行政區,地址,站點數量
南投縣,中寮鄉,南投縣中寮鄉,1
南投縣,仁愛鄉,南投縣仁愛鄉,3
南投縣,南投市,南投縣南投市,8
南投縣,名間鄉,南投縣名間鄉,5
南投縣,國姓鄉,南投縣國姓鄉,3
南投縣,埔里鎮,南投縣埔里鎮,8
南投縣,水里鄉,南投縣水里鄉,2
南投縣,竹山鎮,南投縣竹山鎮,5
南投縣,草屯鎮,南投縣草屯鎮,18
南投縣,集集鎮,南投縣集集鎮,4
南投縣,魚池鄉,南投縣魚池鄉,2
南投縣,鹿谷鄉,南投縣鹿谷鄉,1
台中市,中區,台中市中區,3
台中市,北區,台中市北區,25
台中市,北屯區,台中市北屯區,39
台中市,南區,台中市南區,14
台中市,南屯區,台中市南屯區,25
台中市,后里區,台中市后里區,6
台中市,和平區,台中市和平區,2
台中市,外埔區,台中市外埔區,1
台中市,大安區,台中市大安區,2
台中市,大甲區,台中市大甲區,11
台中市,大肚區,台中市大肚區,6
台中市,大里區,台中市大里區,23
台中市,大雅區,台中市大雅區,12
台中市,太平區,台中市太平區,23
台中市,新社區,台中市新社區,2
台中市,東勢區,台中市東勢區,4
台中市,東區,台中市東區,17
台中市,梧棲區,台中市梧棲區,9
台中市,沙鹿區,台中市沙鹿區,16
台中市,清水區,台中市清水區,8
台中市,潭子區,台中市潭子區,9
台中市,烏日區,台中市烏日區,10
台中市,石岡區,台中市石岡區,3
台中市,神岡區,台中市神岡區,8
台中市,西區,台中市西區,15
台中市,西屯區,台中市西屯區,50
台中市,豐原區,台中市豐原區,20
台中市,霧峰區,台中市霧峰區,11
台中市,龍井區,台中市龍井區,6
台北市,中山區,台北市中山區,26
台北市,中正區,台北市中正區,13
台北市,信義區,台北市信義區,18
台北市,內湖區,台北市內湖區,26
台北市,北投區,台北市北投區,16
台北市,南港區,台北市南港區,8
台北市,士林區,台北市士林區,21
台北市,大同區,台北市大同區,12
台北市,大安區,台北市大安區,26
台北市,文山區,台北市文山區,12
台北市,松山區,台北市松山區,18
台北市,萬華區,台北市萬華區,13
台南市,七股區,台南市七股區,3
台南市,下營區,台南市下營區,1
台南市,中西區,台南市中西區,21
台南市,仁德區,台南市仁德區,19
台南市,佳里區,台南市佳里區,7
台南市,六甲區,台南市六甲區,2
台南市,北區,台南市北區,29
台南市,北門區,台南市北門區,1
台南市,南區,台南市南區,19
台南市,善化區,台南市善化區,12
台南市,大內區,台南市大內區,1
台南市,學甲區,台南市學甲區,3
台南市,安南區,台南市安南區,25
台南市,安定區,台南市安定區,3
台南市,安平區,台南市安平區,14
台南市,官田區,台南市官田區,6
台南市,將軍區,台南市將軍區,4
台南市,山上區,台南市山上區,2
台南市,左鎮區,台南市左鎮區,1
台南市,後壁區,台南市後壁區,2
台南市,新化區,台南市新化區,5
台南市,新市區,台南市新市區,14
台南市,新營區,台南市新營區,8
台南市,東區,台南市東區,33
